um,nN
-2.00e-01,4.99e-01
-1.60e-01,3.89e-01
-1.20e-01,2.99e-01
-8.04e-02,2.00e-01
-4.02e-02,9.91e-02
2.00e-06,1.20e-04
2.20e-02,-5.55e-02
4.65e-02,-1.10e-01
6.51e-02,-1.40e-01
8.04e-02,-1.67e-01
1.02e-01,-2.24e-01
1.21e-01,-2.94e-01
1.41e-01,-3.35e-01
1.60e-01,-3.87e-01
1.79e-01,-4.39e-01
1.99e-01,-2.56e-01
2.18e-01,-2.20e-01
2.38e-01,-3.13e-01
2.57e-01,-4.06e-01
2.76e-01,-4.98e-01
2.96e-01,-2.67e-01
3.15e-01,-2.00e-01
3.35e-01,-3.03e-01
3.54e-01,-3.80e-01
3.73e-01,-4.36e-01
3.93e-01,-2.70e-01
4.12e-01,-1.56e-01
4.31e-01,-1.58e-01
4.51e-01,-1.61e-01
4.70e-01,-1.63e-01
4.90e-01,-1.66e-01
5.09e-01,-1.68e-01
5.28e-01,-1.71e-01
5.48e-01,-1.73e-01
5.67e-01,-1.76e-01
5.86e-01,-1.79e-01
6.06e-01,-1.81e-01
6.25e-01,-1.84e-01
6.45e-01,-1.86e-01
6.64e-01,-1.00e-01
6.83e-01,-5.22e-03
7.03e-01,-9.00e-03
7.22e-01,-9.00e-03
7.41e-01,9.00e-03
7.61e-01,-9.00e-03
7.80e-01,-9.00e-03
8.00e-01,9.00e-03
8.19e-01,0.00e+00
8.38e-01,1.35e-03
8.58e-01,-9.00e-03
8.77e-01,9.00e-03
8.96e-01,9.00e-03
9.16e-01,9.00e-03
9.35e-01,1.80e-02
9.55e-01,9.00e-03
9.74e-01,1.80e-02
9.93e-01,2.70e-02
1.01e+00,1.80e-02
1.03e+00,2.70e-02
1.05e+00,4.50e-03
1.07e+00,4.50e-04
1.09e+00,-1.80e-02
1.11e+00,8.10e-03
1.13e+00,-1.80e-02
1.15e+00,9.00e-03
1.17e+00,-9.00e-03
1.19e+00,-9.00e-03
1.21e+00,9.00e-03
1.23e+00,0.00e+00
1.25e+00,1.35e-03
1.26e+00,-9.00e-03
1.28e+00,9.00e-03
1.30e+00,9.00e-03
1.32e+00,9.00e-03
1.34e+00,1.80e-02
1.36e+00,9.00e-03
1.38e+00,1.80e-02
1.40e+00,2.70e-02
1.42e+00,1.80e-02
1.44e+00,2.70e-02
1.46e+00,4.50e-03
1.48e+00,4.50e-04
1.50e+00,-1.80e-02
1.52e+00,8.10e-03
1.54e+00,-1.80e-02
1.56e+00,9.00e-03
1.57e+00,-9.00e-03
1.59e+00,-9.00e-03
1.61e+00,9.00e-03
1.63e+00,0.00e+00
1.65e+00,1.35e-03
1.67e+00,-9.00e-03
1.69e+00,9.00e-03
1.71e+00,9.00e-03
1.73e+00,9.00e-03
1.75e+00,1.80e-02
1.77e+00,9.00e-03
1.79e+00,1.80e-02
1.81e+00,2.70e-02
1.83e+00,1.80e-02
1.85e+00,2.70e-02
1.87e+00,4.50e-03
1.88e+00,4.50e-04
1.90e+00,-1.80e-02
1.92e+00,8.10e-03
1.94e+00,-1.80e-02
1.96e+00,9.00e-03
1.98e+00,-9.00e-03
2.00e+00,-9.00e-03
2.02e+00,9.00e-03
2.04e+00,0.00e+00
2.06e+00,1.35e-03
2.08e+00,-9.00e-03
2.10e+00,9.00e-03
2.12e+00,9.00e-03
2.14e+00,9.00e-03
2.16e+00,1.80e-02
2.18e+00,9.00e-03
2.19e+00,1.80e-02
2.21e+00,2.70e-02
2.23e+00,1.80e-02
2.25e+00,2.70e-02
2.27e+00,4.50e-03
2.29e+00,4.50e-04
2.31e+00,-1.80e-02
2.33e+00,8.10e-03
2.35e+00,9.00e-03
2.37e+00,-9.00e-03
2.39e+00,-9.00e-03
2.41e+00,9.00e-03
2.43e+00,0.00e+00
2.45e+00,1.35e-03
2.47e+00,-9.00e-03
2.49e+00,9.00e-03
2.50e+00,9.00e-03
2.52e+00,9.00e-03
2.54e+00,1.80e-02
2.56e+00,9.00e-03
2.58e+00,1.80e-02
2.60e+00,2.70e-02
2.62e+00,1.80e-02
2.64e+00,2.70e-02
2.66e+00,4.50e-03
2.68e+00,4.50e-04
2.70e+00,-1.80e-02
2.72e+00,8.10e-03
2.74e+00,-1.80e-02
2.76e+00,9.00e-03
2.78e+00,-9.00e-03
2.80e+00,-9.00e-03
2.81e+00,9.00e-03
2.83e+00,0.00e+00
2.85e+00,1.35e-03
2.87e+00,-9.00e-03
2.89e+00,9.00e-03
2.91e+00,9.00e-03
2.93e+00,9.00e-03
2.95e+00,1.80e-02
2.97e+00,9.00e-03
2.99e+00,1.80e-02
3.01e+00,2.70e-02
3.03e+00,1.80e-02
3.05e+00,2.70e-02
3.07e+00,4.50e-03
3.09e+00,4.50e-04
3.11e+00,-1.80e-02
3.12e+00,8.10e-03
3.14e+00,-1.80e-02
3.16e+00,9.00e-03
3.18e+00,-9.00e-03
3.20e+00,-9.00e-03
3.22e+00,9.00e-03
3.24e+00,0.00e+00
3.26e+00,1.35e-03
3.28e+00,-9.00e-03
3.30e+00,9.00e-03
3.32e+00,9.00e-03
3.34e+00,9.00e-03
3.36e+00,1.80e-02
3.38e+00,9.00e-03
3.40e+00,1.80e-02
3.42e+00,2.70e-02
3.43e+00,1.80e-02
3.45e+00,2.70e-02
3.47e+00,4.50e-03
3.49e+00,4.50e-04
3.51e+00,-1.80e-02
3.53e+00,8.10e-03
3.55e+00,-1.80e-02
3.57e+00,9.00e-03
3.59e+00,-9.00e-03
3.61e+00,-9.00e-03
3.63e+00,9.00e-03
3.65e+00,0.00e+00
3.67e+00,1.35e-03
3.69e+00,-9.00e-03
3.71e+00,9.00e-03
3.73e+00,9.00e-03
3.74e+00,9.00e-03
3.76e+00,1.80e-02
3.78e+00,9.00e-03
3.80e+00,1.80e-02
3.82e+00,2.70e-02
3.84e+00,1.80e-02
3.86e+00,2.70e-02
3.88e+00,4.50e-03
3.90e+00,4.50e-04
3.92e+00,-1.80e-02
3.94e+00,8.10e-03
3.96e+00,9.00e-03
3.98e+00,-9.00e-03
4.00e+00,-9.00e-03
4.02e+00,9.00e-03
4.04e+00,0.00e+00
4.06e+00,1.35e-03
4.07e+00,-9.00e-03
4.09e+00,9.00e-03
4.11e+00,9.00e-03
4.13e+00,9.00e-03
4.15e+00,1.80e-02
4.17e+00,9.00e-03
4.19e+00,1.80e-02
4.21e+00,2.70e-02
4.23e+00,1.80e-02
4.25e+00,2.70e-02
4.27e+00,4.50e-03
4.29e+00,4.50e-04
4.31e+00,-1.80e-02
4.33e+00,8.10e-03
4.35e+00,-1.80e-02
4.37e+00,9.00e-03
4.38e+00,-9.00e-03
4.40e+00,-9.00e-03
4.42e+00,9.00e-03
4.44e+00,0.00e+00
4.46e+00,1.35e-03
4.48e+00,-9.00e-03
4.50e+00,9.00e-03
4.52e+00,9.00e-03
4.54e+00,9.00e-03
4.56e+00,1.80e-02
4.58e+00,9.00e-03
4.60e+00,1.80e-02
4.62e+00,2.70e-02
4.64e+00,1.80e-02
4.66e+00,2.70e-02
4.68e+00,4.50e-03
4.69e+00,4.50e-04
4.71e+00,-1.80e-02
4.73e+00,8.10e-03
4.75e+00,-1.80e-02
4.77e+00,9.00e-03
4.79e+00,-9.00e-03
